"ErrorCode";"ErrorText";"TestDateTime"
"271";"Bar code read failure at lane 2, position 6.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 2, position 16.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 1, position 11.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 2, position 14.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 1, position 3.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 2, position 11.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 2, position 9.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 1, position 14.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 2, position 7.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 1, position 15.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 2, position 4.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 2, position 3.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 1, position 16.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 2, position 8.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 6, position 13.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 4, position 11.    ";"4/14/2021 11:20:25 PM"
"271";"Bar code read failure at lane 1, position 6.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 1, position 1.    ";"4/19/2021 1:03:56 AM"
"271";"Bar code read failure at lane 1, position 9.    ";"4/19/2021 6:35:36 AM"
"271";"Bar code read failure at lane 4, position 16.    ";"4/23/2021 3:05:01 PM"
"271";"Bar code read failure at lane 6, position 13.    ";"4/23/2021 8:26:50 PM"
"271";"Bar code read failure at lane 1, position 2.    ";"4/19/2021 3:48:08 AM"
"271";"Bar code read failure at lane 2, position 10.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 3, position 2.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 6, position 11.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 6, position 10.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 3, position 8.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 3, position 5.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 3, position 4.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 3, position 3.    ";"4/28/2021 7:56:03 PM"
"271";"Bar code read failure at lane 1, position 14.    ";"4/27/2021 8:23:34 AM"
"271";"Bar code read failure at lane 1, position 14.    ";"5/21/2021 6:10:14 PM"
"271";"Bar code read failure at lane 2, position 4.    ";"4/28/2021 8:44:03 PM"
"271";"Bar code read failure at lane 2, position 3.    ";"4/28/2021 8:44:03 PM"
"271";"Bar code read failure at lane 1, position 13.    ";"4/28/2021 8:44:03 PM"
