"ErrorCode";"ErrorText"
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    "
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    "
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    "
"122";"Tips not found on adapters: 6                  "
"122";"Tips not found on adapters: 6 7 8              "
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    "
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    "
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    "
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    "
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters: 1   3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:             7      "
"122";"Tips not found on adapters:             7      "
"122";"Tips not found on adapters: 1 2   4 5   7 8    "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3 4 5 6        "
"122";"Tips not found on adapters:               8    "
"122";"Tips not found on adapters:     3 4            "
"122";"Tips not found on adapters: 1       5          "
"122";"Tips not found on adapters: 1       5          "
"122";"Tips not found on adapters: 1                  "
"122";"Tips not found on adapters: 1                  "
"122";"Tips not found on adapters: 1                  "
"122";"Tips not found on adapters: 1 2 3              "
"122";"Tips not found on adapters: 1                  "
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    "
"122";"Tips not found on adapters: 1                  "
"122";"Tips not found on adapters:     3 4            "
"122";"Tips not found on adapters: 6                  "
"122";"Tips not found on adapters: 1                  "
"122";"Tips not found on adapters: 1                  "
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    "
"122";"Tips not found on adapters: 1                  "
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    "
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters: 1                  "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters:     3              "
"122";"Tips not found on adapters: 3                  "
"122";"Tips not found on adapters:     3   5          "
"122";"Tips not found on adapters:     3   5          "
"122";"Tips not found on adapters:     3   5          "
"122";"Tips not found on adapters:     3   5          "
"122";"Tips not found on adapters:     3   5          "
