ErrorCode;ErrorText;;;;
66;Move Error on Tips:   2 3         8  Move Tips Back?    ;;;Row Labels;Count of ErrorText
66;Move Error on Tips:           6      Move Tips Back?    ;;;Move Error on Tips:               8  Move Tips Back?    ;3
66;Move Error on Tips: 1 2 3 4   6 7    Move Tips Back?    ;;;Move Error on Tips:             7    Move Tips Back?    ;3
66;Move Error on Tips:       4   6      Move Tips Back?    ;;;Move Error on Tips:           6      Move Tips Back?    ;26
66;Move Error on Tips:           6      Move Tips Back?    ;;;Move Error on Tips:         5 6      Move Tips Back?    ;3
66;Move Error on Tips:   2 3 4 5 6   8  Move Tips Back?    ;;;Move Error on Tips:       4          Move Tips Back?    ;1
66;Move Error on Tips: 1 2 3 4 5 6 7 8  Move Tips Back?    ;;;Move Error on Tips:       4   6      Move Tips Back?    ;1
66;Move Error on Tips: 1 2 3 4 5 6 7 8  Move Tips Back?    ;;;Move Error on Tips:       4 5 6   8  Move Tips Back?    ;4
66;Move Error on Tips: 1   3 4          Move Tips Back?    ;;;Move Error on Tips:     3            Move Tips Back?    ;5
66;Move Error on Tips:   2 3 4 5 6   8  Move Tips Back?    ;;;Move Error on Tips:   2           8  Move Tips Back?    ;3
66;Move Error on Tips:   2           8  Move Tips Back?    ;;;Move Error on Tips:   2 3         8  Move Tips Back?    ;1
66;Move Error on Tips:           6      Move Tips Back?    ;;;Move Error on Tips:   2 3 4   6      Move Tips Back?    ;1
66;Move Error on Tips: 1                Move Tips Back?    ;;;Move Error on Tips:   2 3 4 5 6   8  Move Tips Back?    ;2
66;Move Error on Tips: 1                Move Tips Back?    ;;;Move Error on Tips:   2 3 4 5 6 7 8  Move Tips Back?    ;1
66;Move Error on Tips: 1                Move Tips Back?    ;;;Move Error on Tips: 1                Move Tips Back?    ;7
66;Move Error on Tips:         5 6      Move Tips Back?    ;;;Move Error on Tips: 1     4       8  Move Tips Back?    ;1
66;Move Error on Tips: 1                Move Tips Back?    ;;;Move Error on Tips: 1     4 5     8  Move Tips Back?    ;1
66;Move Error on Tips: 1                Move Tips Back?    ;;;Move Error on Tips: 1   3 4          Move Tips Back?    ;1
66;Move Error on Tips:           6      Move Tips Back?    ;;;Move Error on Tips: 1 2 3   5 6 7 8  Move Tips Back?    ;1
66;Move Error on Tips:       4 5 6   8  Move Tips Back?    ;;;Move Error on Tips: 1 2 3 4          Move Tips Back?    ;1
66;Move Error on Tips:         5 6      Move Tips Back?    ;;;Move Error on Tips: 1 2 3 4   6   8  Move Tips Back?    ;1
66;Move Error on Tips:   2           8  Move Tips Back?    ;;;Move Error on Tips: 1 2 3 4   6 7    Move Tips Back?    ;1
66;Move Error on Tips:   2           8  Move Tips Back?    ;;;Move Error on Tips: 1 2 3 4   6 7 8  Move Tips Back?    ;1
66;Move Error on Tips:     3            Move Tips Back?    ;;;Move Error on Tips: 1 2 3 4 5 6 7 8  Move Tips Back?    ;3
66;Move Error on Tips:     3            Move Tips Back?    ;;;(blank);
66;Move Error on Tips:     3            Move Tips Back?    ;;;Grand Total;72
66;Move Error on Tips:     3            Move Tips Back?    ;;;;
66;Move Error on Tips:     3            Move Tips Back?    ;;;;
66;Move Error on Tips:       4 5 6   8  Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:         5 6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips: 1 2 3 4 5 6 7 8  Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
66;Move Error on Tips:           6      Move Tips Back?    ;;;;
